attempttime,difficulty,userid,iscorrect,examid
1488742981101,2,71d03d91-98d7-11e6-940a-64b49725f870,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981104,2,71d03d91-98d7-11e6-940a-64b49725f870,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981109,2,71d03d91-98d7-11e6-940a-64b49725f870,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981111,2,71d03d91-98d7-11e6-940a-64b49725f870,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981113,2,71d03d91-98d7-11e6-940a-64b49725f870,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981116,2,71d03d91-98d7-11e6-940a-64b49725f870,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981118,2,71d03d91-98d7-11e6-940a-64b49725f870,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981122,2,71d03d91-98d7-11e6-940a-64b49725f870,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981170,2,add2e4e0-98de-11e6-a2e7-47277501a0c6,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981175,2,add2e4e0-98de-11e6-a2e7-47277501a0c6,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981177,2,add2e4e0-98de-11e6-a2e7-47277501a0c6,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981180,2,add2e4e0-98de-11e6-a2e7-47277501a0c6,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981183,2,add2e4e0-98de-11e6-a2e7-47277501a0c6,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981406,2,387536c7-98ef-11e6-8ed9-57cae96d3f5a,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981408,2,387536c7-98ef-11e6-8ed9-57cae96d3f5a,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981410,2,387536c7-98ef-11e6-8ed9-57cae96d3f5a,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981413,2,387536c7-98ef-11e6-8ed9-57cae96d3f5a,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981415,2,387536c7-98ef-11e6-8ed9-57cae96d3f5a,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981422,2,387536c7-98ef-11e6-8ed9-57cae96d3f5a,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981611,2,5fd47a61-9915-11e6-b335-88cf3cdfb5ad,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981614,2,5fd47a61-9915-11e6-b335-88cf3cdfb5ad,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981619,2,5fd47a61-9915-11e6-b335-88cf3cdfb5ad,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981624,2,5fd47a61-9915-11e6-b335-88cf3cdfb5ad,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981626,2,5fd47a61-9915-11e6-b335-88cf3cdfb5ad,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981722,2,6f33ef6a-9925-11e6-abdf-5dd9b300ec1d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981726,2,6f33ef6a-9925-11e6-abdf-5dd9b300ec1d,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981728,2,6f33ef6a-9925-11e6-abdf-5dd9b300ec1d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981730,2,6f33ef6a-9925-11e6-abdf-5dd9b300ec1d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981732,2,6f33ef6a-9925-11e6-abdf-5dd9b300ec1d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981734,2,6f33ef6a-9925-11e6-abdf-5dd9b300ec1d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981736,2,6f33ef6a-9925-11e6-abdf-5dd9b300ec1d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981738,2,6f33ef6a-9925-11e6-abdf-5dd9b300ec1d,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981740,2,6f33ef6a-9925-11e6-abdf-5dd9b300ec1d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981743,2,6f33ef6a-9925-11e6-abdf-5dd9b300ec1d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981844,2,e9ea50f0-9936-11e6-90cf-a65948d01bb7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981846,2,e9ea50f0-9936-11e6-90cf-a65948d01bb7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981848,2,e9ea50f0-9936-11e6-90cf-a65948d01bb7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981850,2,e9ea50f0-9936-11e6-90cf-a65948d01bb7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981853,2,e9ea50f0-9936-11e6-90cf-a65948d01bb7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981990,2,0f3f15f0-9943-11e6-bc69-85fb2f9805f1,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981994,2,0f3f15f0-9943-11e6-bc69-85fb2f9805f1,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981996,2,0f3f15f0-9943-11e6-bc69-85fb2f9805f1,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981999,2,0f3f15f0-9943-11e6-bc69-85fb2f9805f1,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982001,2,0f3f15f0-9943-11e6-bc69-85fb2f9805f1,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
